"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";".g";".g_se";"outcome_type";"instrument";"rating";"mean_arm1";"sd_arm1";"n_arm1";"mean_arm2";"sd_arm2";"n_arm2";"mean_change_arm1";"mean_change_arm2";"sd_change_arm1";"sd_change_arm2";"n_change_arm1";"n_change_arm2";"dich_paper";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"other_stat";"baseline_m_arm1";"baseline_sd_arm1";"baseline_n_arm1";"baseline_m_arm2";"baseline_sd_arm2";"baseline_n_arm2";"year";"time_weeks";"time_weeks_needs_cleaning";"time";"comorbid_mental";"format";"format_details";"n_sessions_arm1";"country";"age_group";"mean_age";"percent_women";"recruitment";"diagnosis";"target_group";"sg";"ac";"ba";"itt";"rob";"condition_legacy_arm1";"condition_legacy_arm2";"number_instruments";"number_arms";"is_multiarm";"outcome_rank";"primary";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2";"full_ref";"doi";"abstract";"title";"url";"journal";"id_study";".id"
"Bedard, 2014";"3rd";"wl";NA;NA;0,517728117049531;0,233305458472736;"msd";"bdi-2";"self-report";18,84;10,26;38;25;13,12;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25,47;8,12;38;27,13;10,61;38;2014;0;"3 month";"post";"n";"grp";"grp";10;"can";"adul";46,46;0,45;"com";"cut";"med";1;1;"sr";0;3;"mbct";"wlc";3;2;0;2;1;NA;NA;NA;NA;NA;NA;"Bedard M, Felteau M, Marshall S, Cullen N, Gibbons C, Dubois S, et al. Mindfulness-based cognitive therapy reduces symptoms of depression in people with a traumatic brain injury: Results from a randomized controlled trial. Journal of Head Trauma Rehabilitation. 2014;29(4):E13-E22.";NA;"OBJECTIVE:: We sought to determine if we could reduce symptoms of depression in individuals with a traumatic brain injury using mindfulness-based cognitive therapy. SETTING:: The study was conducted in a community setting. PARTICIPANTS:: We enrolled adults with symptoms of depression after a traumatic brain injury. DESIGN:: We conducted a randomized controlled trial; participants were randomized to the 10-week mindfulness-based cognitive therapy intervention arm or to the wait-list control arm. MAIN MEASURES:: The primary outcome measure was symptoms of depression using the Beck Depression Inventory-II. RESULTS:: The parallel group analysis revealed a greater reduction in Beck Depression Inventory-II scores for the intervention group (6.63, n = 38,) than the control group (2.13, n = 38, P = .029). A medium effect size was observed (Cohen d = 0.56). The improvement in Beck Depression Inventory-II scores was maintained at the 3-month follow-up. CONCLUSION:: These results are consistent with those of other researchers that use mindfulness-based cognitive therapy to reduce symptoms of depression and suggest that further work to replicate these findings and improve upon the efficacy of the intervention is warranted. Copyright (copyright) 2014 Lippincott Williams & Wilkins.";"Mindfulness-based cognitive therapy reduces symptoms of depression in people with a traumatic brain injury: Results from a randomized controlled trial";"http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L52784384 and http://dx.doi.org/10.1097/HTR.0b013e3182a615a0 and http://elvis.ubvu.vu.nl:9003/vulink?sid=EMBASE&issn=1550509X&id=doi:10.1097%2FHTR.0b013e3182a615a0&atitle=Mindfulness-based+cognitive+therapy+reduces+symptoms+of+depression+in+people+with+a+traumatic+brain+injury%3A+Results+from+a+randomized+controlled+trial&stitle=J.+Head+Trauma+Rehabil.&title=Journal+of+Head+Trauma+Rehabilitation&volume=29&issue=4&spage=&epage=&aulast=B%C3%A9dard&aufirst=Michel&auinit=M.&aufull=B%C3%A9dard+M.&coden=JHRHE&isbn=&pages=-&date=2014&auinit1=M&auinitm= and http://graphics.tx.ovid.com/ovftpdfs/FPDDNCDCGCPFGC00/fs046/ovft/live/gv023/00001199/00001199-201407000-00012.pdf";"Journal of Head Trauma Rehabilitation";"Bedard, 2014";"Bedard_2014_3rd_wl_NA_NA_msd_bdi-2_self-report_0_post"
"Bedard, 2014";"3rd";"wl";NA;NA;0,413837782259694;0,235107033972019;"msd";"phq-9";"self-report";10,19;5,88;36;12,84;6,74;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11,53;5,03;36;14,08;6,52;38;2014;0;"3 month";"post";"n";"grp";"grp";10;"can";"adul";46,46;0,45;"com";"cut";"med";1;1;"sr";0;3;"mbct";"wlc";3;2;0;4;0;NA;NA;NA;NA;NA;NA;"Bedard M, Felteau M, Marshall S, Cullen N, Gibbons C, Dubois S, et al. Mindfulness-based cognitive therapy reduces symptoms of depression in people with a traumatic brain injury: Results from a randomized controlled trial. Journal of Head Trauma Rehabilitation. 2014;29(4):E13-E22.";NA;"OBJECTIVE:: We sought to determine if we could reduce symptoms of depression in individuals with a traumatic brain injury using mindfulness-based cognitive therapy. SETTING:: The study was conducted in a community setting. PARTICIPANTS:: We enrolled adults with symptoms of depression after a traumatic brain injury. DESIGN:: We conducted a randomized controlled trial; participants were randomized to the 10-week mindfulness-based cognitive therapy intervention arm or to the wait-list control arm. MAIN MEASURES:: The primary outcome measure was symptoms of depression using the Beck Depression Inventory-II. RESULTS:: The parallel group analysis revealed a greater reduction in Beck Depression Inventory-II scores for the intervention group (6.63, n = 38,) than the control group (2.13, n = 38, P = .029). A medium effect size was observed (Cohen d = 0.56). The improvement in Beck Depression Inventory-II scores was maintained at the 3-month follow-up. CONCLUSION:: These results are consistent with those of other researchers that use mindfulness-based cognitive therapy to reduce symptoms of depression and suggest that further work to replicate these findings and improve upon the efficacy of the intervention is warranted. Copyright (copyright) 2014 Lippincott Williams & Wilkins.";"Mindfulness-based cognitive therapy reduces symptoms of depression in people with a traumatic brain injury: Results from a randomized controlled trial";"http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L52784384 and http://dx.doi.org/10.1097/HTR.0b013e3182a615a0 and http://elvis.ubvu.vu.nl:9003/vulink?sid=EMBASE&issn=1550509X&id=doi:10.1097%2FHTR.0b013e3182a615a0&atitle=Mindfulness-based+cognitive+therapy+reduces+symptoms+of+depression+in+people+with+a+traumatic+brain+injury%3A+Results+from+a+randomized+controlled+trial&stitle=J.+Head+Trauma+Rehabil.&title=Journal+of+Head+Trauma+Rehabilitation&volume=29&issue=4&spage=&epage=&aulast=B%C3%A9dard&aufirst=Michel&auinit=M.&aufull=B%C3%A9dard+M.&coden=JHRHE&isbn=&pages=-&date=2014&auinit1=M&auinitm= and http://graphics.tx.ovid.com/ovftpdfs/FPDDNCDCGCPFGC00/fs046/ovft/live/gv023/00001199/00001199-201407000-00012.pdf";"Journal of Head Trauma Rehabilitation";"Bedard, 2014";"Bedard_2014_3rd_wl_NA_NA_msd_phq-9_self-report_0_post"
"Bedard, 2014";"3rd";"wl";NA;NA;0,132425224884408;0,231218888510747;"msd";"scl";"self-report";1,36;0,9;38;1,49;1,04;37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,62;0,8;38;1,74;0,94;37;2014;0;"3 month";"post";"n";"grp";"grp";10;"can";"adul";46,46;0,45;"com";"cut";"med";1;1;"sr";0;3;"mbct";"wlc";3;2;0;99;0;NA;NA;NA;NA;NA;NA;"Bedard M, Felteau M, Marshall S, Cullen N, Gibbons C, Dubois S, et al. Mindfulness-based cognitive therapy reduces symptoms of depression in people with a traumatic brain injury: Results from a randomized controlled trial. Journal of Head Trauma Rehabilitation. 2014;29(4):E13-E22.";NA;"OBJECTIVE:: We sought to determine if we could reduce symptoms of depression in individuals with a traumatic brain injury using mindfulness-based cognitive therapy. SETTING:: The study was conducted in a community setting. PARTICIPANTS:: We enrolled adults with symptoms of depression after a traumatic brain injury. DESIGN:: We conducted a randomized controlled trial; participants were randomized to the 10-week mindfulness-based cognitive therapy intervention arm or to the wait-list control arm. MAIN MEASURES:: The primary outcome measure was symptoms of depression using the Beck Depression Inventory-II. RESULTS:: The parallel group analysis revealed a greater reduction in Beck Depression Inventory-II scores for the intervention group (6.63, n = 38,) than the control group (2.13, n = 38, P = .029). A medium effect size was observed (Cohen d = 0.56). The improvement in Beck Depression Inventory-II scores was maintained at the 3-month follow-up. CONCLUSION:: These results are consistent with those of other researchers that use mindfulness-based cognitive therapy to reduce symptoms of depression and suggest that further work to replicate these findings and improve upon the efficacy of the intervention is warranted. Copyright (copyright) 2014 Lippincott Williams & Wilkins.";"Mindfulness-based cognitive therapy reduces symptoms of depression in people with a traumatic brain injury: Results from a randomized controlled trial";"http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L52784384 and http://dx.doi.org/10.1097/HTR.0b013e3182a615a0 and http://elvis.ubvu.vu.nl:9003/vulink?sid=EMBASE&issn=1550509X&id=doi:10.1097%2FHTR.0b013e3182a615a0&atitle=Mindfulness-based+cognitive+therapy+reduces+symptoms+of+depression+in+people+with+a+traumatic+brain+injury%3A+Results+from+a+randomized+controlled+trial&stitle=J.+Head+Trauma+Rehabil.&title=Journal+of+Head+Trauma+Rehabilitation&volume=29&issue=4&spage=&epage=&aulast=B%C3%A9dard&aufirst=Michel&auinit=M.&aufull=B%C3%A9dard+M.&coden=JHRHE&isbn=&pages=-&date=2014&auinit1=M&auinitm= and http://graphics.tx.ovid.com/ovftpdfs/FPDDNCDCGCPFGC00/fs046/ovft/live/gv023/00001199/00001199-201407000-00012.pdf";"Journal of Head Trauma Rehabilitation";"Bedard, 2014";"Bedard_2014_3rd_wl_NA_NA_msd_scl_self-report_0_post"
"Beeber, 2010";"ipt";"cau";NA;NA;0,77409980792219;0,246479867388821;"msd";"ces-d";"self-report";11,5;9,5;34;19,1;9,9;37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26,3;13,4;34;22,8;12,5;37;2010;0;"1 month";"post";"n";"ind";"ind";16;"us";"adul";26;1;"oth";"cut";"oth";1;0;"sr";0;2;"ipt";"cau";1;2;0;5;1;NA;NA;NA;NA;NA;NA;"Beeber LS, Holditch-Davis D, Perreira K, Schwartz TA, Lewis V, Blanchard H, et al. Short-term in-home intervention reduces depressive symptoms in Early Head Start Latina mothers of infants and toddlers. Research in Nursing and Health. 2010;33(1):60-76.";101002;"Depressive symptoms may compromise the ability of low-income Latina mothers with limited English language proficiency to parent their infants or toddlers. Eighty Early Head Start Latina mothers with limited English language proficiency were randomized to an advanced practice nurse-delivered, culturally tailored, in-home psychotherapy intervention, or to usual care. Repeated measures regression analysis showed a significantly greater decrease in depressive symptoms for intervention mothers compared to the usual care group at 22 and 26 weeks (4 weeks post intervention). Intervention mothers' reports of their child's aggression diminished significantly from T1 to T4 compared to usual care mothers (p = .03). Self-efficacy appeared to only partially mediate the intervention effect, and maternal health moderated the intervention impact. Results indicate that the intervention reduced depressive symptoms and, compared to previous studies in this population, retention of mothers in both intervention and control conditions was improved.";"Short-term in-home intervention reduces depressive symptoms in Early Head Start Latina mothers of infants and toddlers";"http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4096768/pdf/nihms-337793.pdf and http://onlinelibrary.wiley.com/store/10.1002/nur.20363/asset/20363_ftp.pdf?v=1&t=ieffxwv4&s=1aa16d3f02ac8f1cc910b0305b5874d750314c81";"Res Nurs Health";"Beeber, 2010";"Beeber_2010_ipt_cau_NA_NA_msd_ces-d_self-report_0_post"
"Bendig, 2021";"cbt";"wl";NA;NA;0,315451473205873;0,345818735196313;"msd";"phq-9";"self-report";9,04;5,16;18;10,73;5,31;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;16;NA;NA;NA;NA;NA;11,61;3,94;18;10,69;4,67;16;2021;0;"8";"post";"n";"gsh";"gsh";3;"eu";"adul";56,4;0,35;"oth";"cut";"med";1;1;"1";1;4;NA;NA;1;2;0;4;1;NA;NA;NA;NA;NA;NA;"Bendig, E., BauereiÃŸ, N., Buntrock, C., HabiboviÄ‡, M., Ebert, D. D., & Baumeister, H. (2021). Lessons learned from an attempted randomized-controlled feasibility trial on â€œWIDeCADâ€<9d> - An internet-based depression treatment for people living with coronary artery disease (CAD) [Article]. Internet Interventions, 24. https://doi.org/10.1016/j.invent.2021.100375 
";NA;NA;NA;NA;NA;"Bendig, 2021";"Bendig_2021_cbt_wl_NA_NA_msd_phq-9_self-report_0_post"
"Berger, 2011";"cbt";"wl";"cbt (guided i-cbt)";"wl";1,12527472527473;0,302103724754194;"msd";"bdi-2";"self-report";17,3;10,2;25;28,5;9,4;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28,8;8,2;25;29,8;8,6;26;2011;0;"6 month";"post";"n";"gsh";"gsh";10;"eu";"adul";38,8;0,7;"com";"mood";"adul";1;1;"sr";1;4;"guided i-cbt";"wlc";1;3;1;2;1;NA;NA;NA;NA;NA;NA;"Berger T, HÃ¤mmerli K, Gubser N, Andersson G, Caspar F. Internet-based treatment of depression: A randomized controlled trial comparing guided with unguided self-help. Cognitive Behaviour Therapy. 2011;40(4):251-66.";101080;"Internet-delivered self-help for depression with therapist guidance has shown efficacy in several trials. Results from meta-analyses suggest that guidance is important and that self-help programs without support are less effective. However, there are no direct experimental comparisons between guided and unguided internet-based treatments for depression. The present study compared the benefits of a 10-week web-based unguided self-help treatment with the same intervention complemented with weekly therapist support via e-mail. A waiting-list control group was also included. Seventy-six individuals meeting the diagnostic criteria of major depression or dysthymia were randomly assigned to one of the three conditions. The Beck Depression Inventory (BDI-II) was used as the primary outcome measure. Secondary outcomes included general psychopathology, interpersonal problems, and quality of life. Sixty-nine participants (91%) completed the assessment at posttreatment and 59 (78%) at 6-month follow-up. Results showed significant symptom reductions in both treatment groups compared to the waiting-list control group. At posttreatment, between-group effect sizes on the BDI-II were d = .66 for unguided self-help versus waiting-list and d = 1.14 for guided self-help versus waiting-list controls. In the comparison of the two active treatments, small-to-moderate, but not statistically significant effects in favor of the guided condition were found on all measured dimensions. In both groups, treatment gains were maintained at 6-month follow-up. The findings provide evidence that internet-delivered treatments for depression can be effective whether support is added or not. However, all participants were interviewed in a structured diagnostic telephone interview before inclusion, which prohibits conclusions regarding unguided treatments that are without any human contact.";"Internet-based treatment of depression: a randomized controlled trial comparing guided with unguided self-help";"http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/193/CN-00851193/frame.html and http://www.tandfonline.com/doi/pdf/10.1080/16506073.2011.616531";"Cognitive behaviour therapy";"Berger, 2011";"Berger_2011_cbt_wl_cbt(guidedi-cbt)_wl_msd_bdi-2_self-report_0_post"
"Berger, 2011";"cbt";"wl";"cbt (unguided i-cbt)";"wl";0,654098954526653;0,287729396801035;"msd";"bdi-2";"self-report";20,8;13,5;25;28,5;9,4;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29,8;8,6;25;29,8;8,6;26;2011;0;"6 month";"post";"n";"ush";"ush";10;"eu";"adul";38,8;0,7;"com";"mood";"adul";1;1;"sr";1;4;"unguided i-cbt";"wlc";1;3;1;2;1;NA;NA;NA;NA;NA;NA;"Berger T, HÃ¤mmerli K, Gubser N, Andersson G, Caspar F. Internet-based treatment of depression: A randomized controlled trial comparing guided with unguided self-help. Cognitive Behaviour Therapy. 2011;40(4):251-66.";101080;"Internet-delivered self-help for depression with therapist guidance has shown efficacy in several trials. Results from meta-analyses suggest that guidance is important and that self-help programs without support are less effective. However, there are no direct experimental comparisons between guided and unguided internet-based treatments for depression. The present study compared the benefits of a 10-week web-based unguided self-help treatment with the same intervention complemented with weekly therapist support via e-mail. A waiting-list control group was also included. Seventy-six individuals meeting the diagnostic criteria of major depression or dysthymia were randomly assigned to one of the three conditions. The Beck Depression Inventory (BDI-II) was used as the primary outcome measure. Secondary outcomes included general psychopathology, interpersonal problems, and quality of life. Sixty-nine participants (91%) completed the assessment at posttreatment and 59 (78%) at 6-month follow-up. Results showed significant symptom reductions in both treatment groups compared to the waiting-list control group. At posttreatment, between-group effect sizes on the BDI-II were d = .66 for unguided self-help versus waiting-list and d = 1.14 for guided self-help versus waiting-list controls. In the comparison of the two active treatments, small-to-moderate, but not statistically significant effects in favor of the guided condition were found on all measured dimensions. In both groups, treatment gains were maintained at 6-month follow-up. The findings provide evidence that internet-delivered treatments for depression can be effective whether support is added or not. However, all participants were interviewed in a structured diagnostic telephone interview before inclusion, which prohibits conclusions regarding unguided treatments that are without any human contact.";"Internet-based treatment of depression: a randomized controlled trial comparing guided with unguided self-help";"http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/193/CN-00851193/frame.html and http://www.tandfonline.com/doi/pdf/10.1080/16506073.2011.616531";"Cognitive behaviour therapy";"Berger, 2011";"Berger_2011_cbt_wl_cbt(unguidedi-cbt)_wl_msd_bdi-2_self-report_0_post"
"Beutel, 2014";"dyn";"cau";NA;NA;0,519091790686381;0,194425538658389;"remission (diag)";"scid";"clinician";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Remission (no diagnosis of depression (SCID) and a decrease in depressive symptoms by at least two HADS-D points)";34;18;78;78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2014;0;"0";"post";"n";"ind";"ind";18;"eu";"adul";51,8;1;"oth";"mood";"med";1;1;"1";1;4;"psychodynamic psychotherapy";"cau";1;2;0;99;1;0,635988766719997;0,243569896786143;34;18;78;78;"Beutel ME, Weissflog G, Leuteritz K, Wiltink J, Haselbacher A, Ruckes C, et al. Efficacy of short-term psychodynamic psychotherapy (STPP) with depressed breast cancer patients: Results of a randomized controlled multicenter trial. Annals of Oncology. 2014;25(2):378-84.";101093;"Background: There is a lack of trials of psychodynamic treatments of depression in breast cancer patients. The purpose of this trial was to determine the efficacy of short-term psychodynamic psychotherapy (STPP) in non-metastatic breast cancer patients diagnosed with depression, one of the most frequent mental comorbidities of breast cancer. Patients and methods: In a multicenter prospective trial, 157 breast cancer patients with comorbid depression were randomized to either individual STPP (intervention group, N = 78) or 'treatment as usual' (control group, TAU, N = 79). As our primary outcome measure, we hypothesized a higher rate of remission defined as no diagnosis of depression (Structured Clinical Interview for DSM-IV) and reduction in depression score by at least 2 points (Hospital Anxiety and Depression Scale, HADS-D) in STPP versus TAU at treatment termination. Secondary outcomes mainly refer to quality of life (QoL). Results: In the intention to treat (ITT) analysis, 44% of the STPP group achieved highly significantly more remission than TAU (23%). STPP treatment (OR = 7.64; P < 0.001) was the strongest predictor for remission post-treatment; time was also significant (OR = 0.96; P < 0.05). A high effect favoring STPP (d = 0.82) was observed for the HADS-D score posttreatment (secondary outcome). Regarding further secondary outcomes (QoL), analyses of covariance yielded main effects for group (favoring STPP with an effect size of at least d = 0.5) for global QoL, role, emotional and social functioning, pain, treatment side-effects, breast symptoms and upset by hair loss. Conclusions: STPP is an effective treatment of a broad range of depressive conditions in breast cancer patients improving depression and functional QoL. Findings are limited by the drop-out rate (~1/3) and delayed post-treatment assessments. Future trials may consider stepped-care approaches, tailored to patients' needs and requirements in the acute treatment phase. The Author 2013. Published by Oxford University Press on behalf of the European Society for Medical Oncology. All rights reserved.";"Efficacy of short-term psychodynamic psychotherapy (STPP) with depressed breast cancer patients: Results of a randomized controlled multicenter trial";"http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/229/CN-00978229/frame.html and http://annonc.oxfordjournals.org/content/25/2/378.full.pdf";"Annals of oncology";"Beutel, 2014";"Beutel_2014_dyn_cau_NA_NA_remission(diag)_scid_clinician_0_post"
"Boele, 2018";"pst";"wl";NA;NA;0,610279919347849;0,29268266436274;"msd";"ces-d";"self-report";18,84;6,4;19;23,09;7,1;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,96;5,9;45;24,98;6,9;43;2018;0;"3&12 month";"post";"n";"gsh";"gsh";5;"eu";"adul";44,9;0,55;"com";"cut";"med";1;1;"sr";1;4;"pst-glioma";"wlc-glioma";1;2;0;5;1;NA;NA;NA;NA;NA;NA;"Boele FW, Klein M, Verdonck-de Leeuw IM, et al. Internet-based guided self-help for glioma patients with depressive symptoms: a randomized controlled trial. Journal of neuro-oncology 2018; 137(1): 191â€<90>203.";101007;"eng";"Internet-based guided self-help for glioma patients with depressive symptoms: a randomized controlled trial";"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01442115/full and https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5846975/pdf/11060_2017_Article_2712.pdf";"Journal of neuro-oncology";"Boele, 2018";"Boele_2018_pst_wl_NA_NA_msd_ces-d_self-report_0_post"
"Boeschoten, 2017";"pst";"wl";NA;NA;0,0777749067657328;0,162339536059301;"msd";"bdi-2";"self-report";20,3;8,8;74;21;9,1;78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28,2;6,3;85;27,2;6,6;86;2017;0;"4 month";"post";"n";"gsh";"gsh";5;"eu";"adul";48,9;0,8;"com";"cut";"med";1;1;"sr";1;4;"i-pst";"wlc";2;2;0;2;1;NA;NA;NA;NA;NA;NA;"Boeschoten, R. E., Dekker, J., Uitdehaag, B. M. J., Beekman, A. T. F., Hoogendoorn, A. W., Collette, E. H., . . . Van Oppen, P. (2017). Internet-based treatment for depression in multiple sclerosis: A randomized controlled trial. Multiple Sclerosis, 23(8), 1112-1122.";101177;"Background: Depression in multiple sclerosis (MS) patients is common but may stay untreated. Physical limitations impede face-to-face treatment. Internet-based treatment is therefore a promising tool for treating depression in MS. Objectives: To investigate effectiveness of a guided Internet-based problem-solving treatment (IPST) for depressed MS patients. Methods: MS patients with moderate or severe depressive symptoms were randomly assigned to IPST or a wait list control. Primary outcome was the change in depressive symptoms defined by a change in sum score on the Beck Depression Inventory Second Edition (BDI-II). Assessments took place at baseline (T0), within a week after the intervention (T1), and at 4 months follow-up (T2). Analyses were based on the intention-to-treat principle. Results: A total of 171 patients were randomized to IPST (n = 85) or a wait list control (n = 86). T1 was completed by 152 (89%) and T2 by 131 patients (77%). The IPST group and wait list control showed large significant improvements in depressive symptoms, but no differences were found between groups at T1 (d = 0.23; 95% confidence interval (CI) = (-4.03, 1.08); p = 0.259) and T2 (d = 0.01; 95% CI = (-2.80, 2.98); p = 0.953). Conclusion: We found no indication that IPST for MS patients with moderate or severe depression is effective in reducing depressive symptoms compared to a waiting list. Large improvements in the wait list control were unexpected and are discussed.";"Internet-based treatment for depression in multiple sclerosis: A randomized controlled trial";"http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L616871327 and http://dx.doi.org/10.1177/1352458516671820 and http://vu.on.worldcat.org/atoztitles/link?sid=EMBASE&issn=14770970&id=doi:10.1177%2F1352458516671820&atitle=Internet-based+treatment+for+depression+in+multiple+sclerosis%3A+A+randomized+controlled+trial&stitle=Mult.+Scler.&title=Multiple+Sclerosis&volume=23&issue=8&spage=1112&epage=1122&aulast=Boeschoten&aufirst=Rosa+E.&auinit=R.E.&aufull=Boeschoten+R.E.&coden=MUSCF&isbn=&pages=1112-1122&date=2017&auinit1=R&auinitm=E. and http://journals.sagepub.com/doi/pdf/10.1177/1352458516671820";"Multiple Sclerosis";"Boeschoten, 2017";"Boeschoten_2017_pst_wl_NA_NA_msd_bdi-2_self-report_0_post"
"Bohlmeijer, 2011";"3rd";"wl";NA;NA;0,59646942415914;0,212321033701175;"msd";"ces-d";"self-report";15,94;10,37;49;22,07;9,99;44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,94;9,91;49;26,11;9,12;44;2011;0;"3 month";"post";"n";"grp";"grp";7;"eu";"adul";49,02;0,82;"com";"cut";"adul";1;1;"sr";1;4;"act";"wlc";1;2;0;5;1;NA;NA;NA;NA;NA;NA;"Bohlmeijer ET, Fledderus M, Rokx TA, Pieterse ME. Efficacy of an early intervention based on acceptance and commitment therapy for adults with depressive symptomatology: Evaluation in a randomized controlled trial. Behaviour research and therapy. 2011;49(1):62-7.";101016;"OBJECTIVE: The current study examined the efficacy of an early intervention based on acceptance and commitment therapy (ACT) for depressive symptomatology. The ACT intervention is aimed at increasing the acceptance of negative thoughts and emotions and living a mindful and value-based life. METHOD: Adults with mild to moderate depressive symptomatology were randomly assigned to the ACT intervention (n=49) or to a waiting list (n=44). The mean age of the participants was 49 years. The majority of the participants was female and of Dutch origin. All the participants completed measures before and after the intervention, as well as three months later at follow-up to assess depression (CES-D), anxiety (HADS-A), fatigue (CIS), alcohol use and acceptance (AAQ-II). RESULTS: The ACT intervention led to statistically significant reduction in depressive symptomatology (Cohen's d=.60). These reductions were maintained at the three-month follow-up. Also significant reductions in anxiety and fatigue were observed. Moreover, mediational analysis showed that the improvement of acceptance during the intervention mediated the effects of the intervention on depressive symptomatology at follow-up. CONCLUSION: These findings suggest that an early intervention based on ACT, aimed at increasing acceptance, is effective in reducing depressive symptomatology.";"Efficacy of an early intervention based on acceptance and commitment therapy for adults with depressive symptomatology: Evaluation in a randomized controlled trial";"http://ac.els-cdn.com/S0005796710002202/1-s2.0-S0005796710002202-main.pdf?_tid=89318204-d477-11e4-9a21-00000aacb35d&acdnat=1427457239_8ee32b941eb20b93df338735ddc0bdfd and http://ac.els-cdn.com/S0005796710002202/1-s2.0-S0005796710002202-main.pdf?_tid=971a462e-5868-11e5-8935-00000aab0f6c&acdnat=1441964374_e8fec43d086a58085d383211216c5445";"Behav Res Ther";"Bohlmeijer, 2011";"Bohlmeijer_2011_3rd_wl_NA_NA_msd_ces-d_self-report_0_post"
